data,cambio,selic,expec_cambio,ic_br_agro,cotacao_petroleo_fmi
2004-01-01,2.8518,16.5,2.939523809523809,-0.06156389132290219,0.04634528169983154
2004-02-01,2.9303,16.5,2.943888888888889,0.024905787015638836,0.0017078517577924224
2004-03-01,2.9055,16.5,2.9395652173913045,0.039865049142143505,0.06553833313001922
2004-04-01,2.906,16.25,2.94,0.021520230564759935,0.00957436094314934
2004-05-01,3.1004,16.0,2.9842857142857144,0.08401919365714328,0.10182132873858363
2004-06-01,3.1291,16.0,3.0815,0.001693337124628158,-0.050681109114945944
2004-07-01,3.0368,16.0,3.0845454545454545,-0.06581954884356023,0.06253682693287077
2004-08-01,3.0029,16.0,3.0722727272727273,-0.03157384155096743,0.09866852922228952
2004-09-01,2.8911,16.0,3.0065,-0.017306677260496173,-0.0048981168482788995
2004-10-01,2.8529,16.25,2.959,-0.01954459607297032,0.12001507110870602
2004-11-01,2.786,16.75,2.918421052631579,-0.014913283850717995,-0.1054135873507942
2004-12-01,2.7182,17.25,2.8315,0.00235409623183358,-0.07874845209347425
2005-01-01,2.693,17.75,2.7655000000000003,-0.006980316402523279,0.09814286047523213
2005-02-01,2.5978,18.25,2.6844444444444444,-0.026188403182167086,0.029658019090796905
2005-03-01,2.7047,18.75,2.68,0.07462145469755743,0.1397987824738398
2005-04-01,2.5792,19.25,2.6825,-0.06604982958472583,-0.00431629393940014
2005-05-01,2.4528,19.5,2.5828571428571427,-0.05172145691612773,-0.05694996564597066
2005-06-01,2.4135,19.75,2.5204761904761903,-0.03420423774331027,0.11733067592044932
2005-07-01,2.3735,19.75,2.4604761904761907,-0.014993115163725257,0.04263222050454951
2005-08-01,2.3606,19.75,2.4195652173913045,-0.011281884532676756,0.09268905477834011
2005-09-01,2.2944,19.75,2.3935,0.0002246433795809466,0.0005072589242187675
2005-10-01,2.2565,19.5,2.3225,0.03714949093265929,-0.060931121081088335
2005-11-01,2.2108,19.0,2.289,-0.004229253172626457,-0.057087350063237174
2005-12-01,2.2855,18.5,2.27,0.0831642412607696,0.027495221029950834
2006-01-01,2.2739,18.0,2.304090909090909,0.04669272799198154,0.09674308995969749
2006-02-01,2.1619,17.25,2.212222222222222,-0.03121315714359607,-0.03993384192923077
2006-03-01,2.152,17.25,2.135217391304348,-0.053596892961514264,0.02422054982999544
2006-04-01,2.1293,16.5,2.1494444444444443,-0.004581432419986875,0.10538311755491936
2006-05-01,2.1781,15.75,2.145454545454545,0.037183573845005036,0.010791834002209733
2006-06-01,2.2483,15.25,2.1990000000000003,0.023158615860705112,-0.006868978366775025
2006-07-01,2.1893,15.25,2.2025,0.005096051796894763,0.05707325634652349
2006-08-01,2.1559,14.75,2.195217391304348,-0.046315223498194946,-0.009793157390073581
2006-09-01,2.1687,14.25,2.1725000000000003,-0.026770637908033024,-0.14489463693307325
2006-10-01,2.1483,14.25,2.175714285714286,0.00063078219080559,-0.06819575129973376
2006-11-01,2.1579,13.75,2.1685000000000003,0.048314611330304125,0.007799639020295679
2006-12-01,2.1499,13.25,2.166,0.00847589458759046,0.0411367758958745
2007-01-01,2.1385,13.25,2.1563636363636363,-0.001987874623404551,-0.1257087899760947
2007-02-01,2.0963,13.0,2.131111111111111,-0.01665367542002283,0.07181303026070918
2007-03-01,2.0887,13.0,2.109090909090909,-0.00568125703808775,0.04963895060988932
2007-04-01,2.032,12.75,2.0473684210526315,-0.059525165396360435,0.07213353919603893
2007-05-01,1.9816,12.5,1.9872727272727273,-0.03371167436935796,0.0008887056392863357
2007-06-01,1.9319,12.5,1.9204999999999999,-0.01780328712625945,0.04297173661301468
2007-07-01,1.8828,12.0,1.8833333333333333,0.00419763507048021,0.0754053365930627
2007-08-01,1.966,11.5,1.8808695652173912,0.037660657232662764,-0.04294053269280873
2007-09-01,1.8996,11.5,1.8973684210526314,0.012029405422137707,0.08535863159018486
2007-10-01,1.801,11.25,1.8254545454545457,-0.03798480801853987,0.06942343141376917
2007-11-01,1.7699,11.25,1.7574999999999998,0.002793453964695658,0.10617323498423037
2007-12-01,1.786,11.25,1.7526315789473683,0.04750348431667284,-0.016259087132024952
2008-01-01,1.7743,11.25,1.752608695652174,0.04239555896768543,0.010128721168225496
2008-02-01,1.7277,11.25,1.7455555555555557,0.041258411260296945,0.028428551779716038
2008-03-01,1.7076,11.25,1.7009999999999998,-0.0002936426390212077,0.08511958000641506
2008-04-01,1.6889,11.25,1.7065000000000001,-0.01728011400600149,0.06716826621992666
2008-05-01,1.6605,11.75,1.6809999999999998,-0.008904065630558122,0.12277920430560485
2008-06-01,1.6189,11.75,1.65,0.02049007432433836,0.06825459589270721
2008-07-01,1.5914,12.25,1.6136363636363635,-0.01208414070906283,0.006868662796948755
2008-08-01,1.6123,13.0,1.6,-0.045566665676163076,-0.1474415583005504
2008-09-01,1.7996,13.0,1.6842857142857142,0.06900677766198893,-0.13603806596328383
2008-10-01,2.1729,13.75,1.891304347826087,0.013919992768184564,-0.3277569699530778
2008-11-01,2.2663,13.75,2.0814999999999997,-0.021934109155754555,-0.3017457918369981
2008-12-01,2.3944,13.75,2.2728571428571427,0.033577684105242867,-0.2802523228283085
2009-01-01,2.3074,13.75,2.317272727272727,0.010852746543007719,0.06405823846437331
2009-02-01,2.3127,12.75,2.303888888888889,-0.027983171663470863,-0.03509483044149064
2009-03-01,2.3138,12.75,2.3109090909090906,-0.020872697686838748,0.11540541316719466
2009-04-01,2.2059,11.25,2.271578947368421,9.855615244802607e-05,0.06911664087624247
2009-05-01,2.0609,10.25,2.125,-0.004444671251085275,0.15381777590127532
2009-06-01,1.9576,10.25,1.9695,-0.06449892580189598,0.16880954570164608
2009-07-01,1.9328,9.25,1.9518181818181817,-0.004550513170079817,-0.057263031862719416
2009-08-01,1.8452,8.75,1.8595238095238098,-0.007131862684277124,0.10142490474411936
2009-09-01,1.8198,8.75,1.813,-0.02257968775216579,-0.05219078984411851
2009-10-01,1.7384,8.75,1.7361904761904763,-0.0075679001173654115,0.08238575300681816
2009-11-01,1.7262,8.75,1.7005,0.027580466981712348,0.044054004023035276
2009-12-01,1.7503,8.75,1.720952380952381,0.038037785909616595,-0.034815330449952775
2010-01-01,1.7798,8.75,1.7425000000000002,0.040611641435641666,0.03168048975856941
2010-02-01,1.8416,8.75,1.8111111111111111,0.018052094257873463,-0.03229693002201106
2010-03-01,1.7858,8.75,1.8056521739130436,-0.078552973606973,0.06475226087618413
2010-04-01,1.7566,8.75,1.7914999999999999,-0.031626567539508876,0.05702362952718243
2010-05-01,1.8132,9.5,1.7909523809523809,0.0028184300499747295,-0.11212561772306984
2010-06-01,1.8065,9.5,1.8,-0.01527080286060123,-0.005652700658147047
2010-07-01,1.7696,10.25,1.8,0.0236787428742824,-0.0016551069278438746
2010-08-01,1.7596,10.75,1.7986363636363636,0.05390902024163946,0.015833278203111867
2010-09-01,1.7187,10.75,1.7600000000000002,0.06019376272462651,0.004260395368761216
2010-10-01,1.6835,10.75,1.719,0.04191697037556352,0.07023613909994797
2010-11-01,1.7133,10.75,1.7045,0.07881983773557177,0.03094569999475283
2010-12-01,1.6934,10.75,1.7118181818181817,0.04359526309070372,0.06550185863031999
2011-01-01,1.6749,10.75,1.7009999999999998,0.05262498225487189,0.03136084813976048
2011-02-01,1.668,11.25,1.6945000000000001,0.06303415239930565,0.049392090522395016
2011-03-01,1.6591,11.25,1.6742857142857142,-0.017376504964921935,0.10531923237015661
2011-04-01,1.5864,11.75,1.6252631578947367,-0.0521541900047815,0.06934946729027924
2011-05-01,1.6135,12.0,1.595909090909091,-0.061027209051126796,-0.07376104900140579
2011-06-01,1.587,12.0,1.5995000000000001,-0.016129381929883557,-0.019813862952311467
2011-07-01,1.5639,12.25,1.5814285714285714,-0.02066294194264362,0.02305300382721054
2011-08-01,1.597,12.5,1.5856521739130434,0.024093477039432543,-0.07630013264826108
2011-09-01,1.7498,12.0,1.653,0.08053090738260504,0.0023763477124978394
2011-10-01,1.7726,12.0,1.75,-0.02465408065702679,-0.00614403638005534
2011-11-01,1.7905,11.5,1.7515,-0.0100822510866454,0.04745655094014456
2011-12-01,1.8369,11.0,1.7950000000000002,-0.008493640805527392,-0.01200292491679189
2012-01-01,1.7897,11.0,1.8013043478260868,0.01485650328119803,0.027927006047679725
2012-02-01,1.7184,10.5,1.7483333333333333,-0.0355897960703313,0.054755589205321975
2012-03-01,1.7953,10.5,1.7563636363636363,0.020330862102387215,0.0443954302552223
2012-04-01,1.8548,9.75,1.8073684210526317,-0.0024179910225443635,-0.03511169732097219
2012-05-01,1.986,9.0,1.8913636363636364,0.014500554496477136,-0.0865127336103182
2012-06-01,2.0492,8.5,1.9895,0.0030177913626934227,-0.13775462900793212
2012-07-01,2.0287,8.5,1.9957142857142856,0.09523088080741537,0.06437942634340654
2012-08-01,2.0294,8.0,2.0043478260869563,0.004316242942934423,0.08558646229974709
2012-09-01,2.0281,7.5,2.0105263157894733,-0.001868085038159606,0.0073768458228915534
2012-10-01,2.0298,7.5,2.009090909090909,-0.0182159686898391,-0.029837445614407265
2012-11-01,2.0678,7.25,2.0279999999999996,0.009766129658530076,-0.019812767240598106
